review_id,product,review_text
1,Wireless Earbuds,"The sound quality is amazing! Battery lasts long. Highly recommended."
2,Smartphone,"Very slow performance and heats up quickly. Not satisfied."
3,Coffee Maker,"Easy to use and makes great coffee every time. Perfect for mornings."
4,Laptop,"Excellent laptop for the price. Fast and reliable."
5,Vacuum Cleaner,"It's bulky and noisy. Not as good as expected."
6,Bluetooth Speaker,"The bass is too low and connectivity is unstable."
7,Smartwatch,"Tracks fitness accurately and looks stylish. Very happy with it!"
8,DSLR Camera,"Outstanding photo quality but a bit expensive for beginners."
9,Electric Kettle,"Works fast and shuts off automatically. Very safe and useful."
10,Gaming Mouse,"Lightweight, responsive and fits perfectly in hand. Great for gaming!"
